Treatment	Bacterium	Plant	Rep	label 	S1	S2	S3	S4	S5
cntrl	R401_HK	rbohD	3	_9E_s					
cntrl	R401_HK	rbohD	3	_9F_s					
cntrl	R401_HK	rbohD	3	_11A_s	2.8	4.8	3.8		
cntrl	R401_HK	rbohD	3	_11B_s	2.2	2.2	0.6		
cntrl	R401_HK	rbohD	3	_11C_s	0.7				
cntrl	R401_HK	rbohD	3	_11D_s	4.6	2	3.4	2.7	
cntrl	R401_HK	rbohD	3	_11E_s	0.4	0.1	0.1	1.9	
cntrl	R401_HK	rbohD	3	_11F_s	0.2	0.3	1.2		
NaCl	R401_HK	rbohD	3	_13A_s	0.1	2.3	0.8		
NaCl	R401_HK	rbohD	3	_13B_s	0.1	1.1			
NaCl	R401_HK	rbohD	3	_13C_s					
NaCl	R401_HK	rbohD	3	_13D_s	0.2	1.3	1.1		
NaCl	R401_HK	rbohD	3	_13E_s	0.8	0.5			
NaCl	R401_HK	rbohD	3	_13F_s					
