Experiment	Bacterium	Treatment	Label	Rep	Plant	FW
II	R401_HK	NaCl	13E	3	rbohD	0.65
II	R401_HK	NaCl	13F	1	rbohD	3.45
II	R401_HK	NaCl	13F	2	rbohD	1.2
II	R401_HK	NaCl	1A	1	Col-0	13.8
II	R401_HK	NaCl	1A	2	Col-0	4
II	R401_HK	NaCl	1B	1	Col-0	12.95
II	R401_HK	NaCl	1B	2	Col-0	2.666666667
II	R401_HK	NaCl	1C	1	Col-0	15.6
II	R401_HK	NaCl	1C	2	Col-0	2.18
II	R401_HK	NaCl	1D	1	Col-0	1.1
II	R401_HK	NaCl	1D	2	Col-0	1.175
II	R401_HK	NaCl	1E	1	Col-0	0.9
II	R401_HK	NaCl	1E	2	Col-0	1.54
II	R401_HK	NaCl	1F	1	Col-0	13.5
II	R401_HK	NaCl	1F	2	Col-0	1.625
II	R401_WT	cntrl	12A	1	rbohD	3.7
II	R401_WT	cntrl	12A	2	rbohD	13.2
II	R401_WT	cntrl	12B	1	rbohD	35.35
II	R401_WT	cntrl	12B	2	rbohD	16.325
II	R401_WT	cntrl	12B	3	rbohD	4.2
II	R401_WT	cntrl	12C	1	rbohD	13.05
II	R401_WT	cntrl	12C	2	rbohD	15.8
II	R401_WT	cntrl	12D	1	rbohD	22.95
II	R401_WT	cntrl	12D	2	rbohD	13.83333333
II	R401_WT	cntrl	12D	3	rbohD	9.35
II	R401_WT	cntrl	12E	1	rbohD	15.1
II	R401_WT	cntrl	12F	2	rbohD	16.35
II	R401_WT	cntrl	6A	1	Col-0	3.675
II	R401_WT	cntrl	6A	2	Col-0	13.96666667
II	R401_WT	cntrl	6B	1	Col-0	42.925
II	R401_WT	cntrl	6B	2	Col-0	3.9
II	R401_WT	cntrl	6C	1	Col-0	5.366666667
II	R401_WT	cntrl	6C	2	Col-0	2.3
II	R401_WT	cntrl	6D	1	Col-0	17.25666667
II	R401_WT	cntrl	6D	2	Col-0	3.933333333
II	R401_WT	cntrl	6E	1	Col-0	4.1
II	R401_WT	cntrl	6E	2	Col-0	11.25
II	R401_WT	cntrl	6F	1	Col-0	50.6
II	R401_WT	cntrl	6F	2	Col-0	11.86666667
II	R401_WT	NaCl	14A	1	rbohD	0.7
II	R401_WT	NaCl	14A	2	rbohD	3.1
II	R401_WT	NaCl	14A	3	rbohD	0.9
II	R401_WT	NaCl	14B	1	rbohD	3.5
II	R401_WT	NaCl	14B	2	rbohD	2.6
II	R401_WT	NaCl	14B	3	rbohD	0.2
II	R401_WT	NaCl	14C	1	rbohD	2.95
II	R401_WT	NaCl	14D	1	rbohD	1
II	R401_WT	NaCl	14E	1	rbohD	4.25
II	R401_WT	NaCl	14F	1	rbohD	0.64
II	R401_WT	NaCl	2A	1	Col-0	1.025
II	R401_WT	NaCl	2A	2	Col-0	0.5
II	R401_WT	NaCl	2B	1	Col-0	0.566666667
II	R401_WT	NaCl	2B	2	Col-0	0.55
II	R401_WT	NaCl	2C	1	Col-0	1
II	R401_WT	NaCl	2C	2	Col-0	1.966666667
II	R401_WT	NaCl	2D	1	Col-0	1
II	R401_WT	NaCl	2D	2	Col-0	2.45
II	R401_WT	NaCl	2E	1	Col-0	3.4
II	R401_WT	NaCl	2E	2	Col-0	1.8
II	R401_WT	NaCl	2F	1	Col-0	0.5
III	R401_HK	cntrl	15A	1	Micro Tom	172.6
III	R401_HK	cntrl	15A	2	Micro Tom	121.5
III	R401_HK	cntrl	15A	3	Micro Tom	13.9
III	R401_HK	cntrl	15B	1	Micro Tom	130.6
III	R401_HK	cntrl	15B	2	Micro Tom	175.6
III	R401_HK	cntrl	15B	3	Micro Tom	12.2
III	R401_HK	cntrl	15C	1	Micro Tom	111.7
III	R401_HK	cntrl	15C	2	Micro Tom	73.6
III	R401_HK	cntrl	15C	3	Micro Tom	14.5
III	R401_HK	cntrl	15D	1	Micro Tom	150.3
III	R401_HK	cntrl	15D	2	Micro Tom	244.7
III	R401_HK	cntrl	15D	3	Micro Tom	12.9
III	R401_HK	cntrl	15E	1	Micro Tom	110.1
III	R401_HK	cntrl	15E	2	Micro Tom	225.3
III	R401_HK	cntrl	15E	3	Micro Tom	22.35
III	R401_HK	cntrl	21A	1	Lotus japonicus	16.16666667
III	R401_HK	cntrl	21A	2	Lotus japonicus	20.56666667
III	R401_HK	cntrl	21A	3	Lotus japonicus	17.96666667
III	R401_HK	cntrl	21B	1	Lotus japonicus	19.96666667
III	R401_HK	cntrl	21B	2	Lotus japonicus	16.7
III	R401_HK	cntrl	21B	3	Lotus japonicus	23.5
III	R401_HK	cntrl	21C	1	Lotus japonicus	12.3
III	R401_HK	cntrl	21C	2	Lotus japonicus	16.96666667
III	R401_HK	cntrl	21C	3	Lotus japonicus	16.8
III	R401_HK	cntrl	21D	1	Lotus japonicus	18.63333333
III	R401_HK	cntrl	21D	2	Lotus japonicus	19.06666667
III	R401_HK	cntrl	21D	3	Lotus japonicus	10.76666667
III	R401_HK	cntrl	21E	1	Lotus japonicus	16.73333333
III	R401_HK	cntrl	21E	2	Lotus japonicus	11.03333333
III	R401_HK	cntrl	21E	3	Lotus japonicus	20.23333333
III	R401_HK	NaCl	18A	1	Micro Tom	39.2
III	R401_HK	NaCl	18B	1	Micro Tom	14.8
III	R401_HK	NaCl	18B	2	Micro Tom	33.3
III	R401_HK	NaCl	18C	1	Micro Tom	69.73333333
III	R401_HK	NaCl	18D	1	Micro Tom	19.45
III	R401_HK	NaCl	18E	1	Micro Tom	17.6
III	R401_HK	NaCl	24A	1	Lotus japonicus	13.6
III	R401_HK	NaCl	24A	2	Lotus japonicus	16.5
III	R401_HK	NaCl	24A	3	Lotus japonicus	18.03333333
III	R401_HK	NaCl	24B	1	Lotus japonicus	13.3
III	R401_HK	NaCl	24B	2	Lotus japonicus	19.16666667
III	R401_HK	NaCl	24B	3	Lotus japonicus	16.93333333
III	R401_HK	NaCl	24C	1	Lotus japonicus	13.45
III	R401_HK	NaCl	24C	2	Lotus japonicus	12.33333333
III	R401_HK	NaCl	24C	3	Lotus japonicus	12.86666667
III	R401_HK	NaCl	24D	1	Lotus japonicus	19.83333333
III	R401_HK	NaCl	24D	2	Lotus japonicus	13.83333333
III	R401_HK	NaCl	24D	3	Lotus japonicus	25.2
III	R401_HK	NaCl	24E	1	Lotus japonicus	17.76666667
III	R401_HK	NaCl	24E	2	Lotus japonicus	12.83333333
III	R401_HK	NaCl	24E	3	Lotus japonicus	14.93333333
III	R401_LP	cntrl	17A	2	Micro Tom	148.8
III	R401_LP	cntrl	17A	3	Micro Tom	19.25
III	R401_LP	cntrl	17B	1	Micro Tom	108.5
III	R401_LP	cntrl	17B	2	Micro Tom	181.4
III	R401_LP	cntrl	17B	3	Micro Tom	12.1
III	R401_LP	cntrl	17C	1	Micro Tom	171.7
III	R401_LP	cntrl	17C	2	Micro Tom	112.2
III	R401_LP	cntrl	17C	3	Micro Tom	13.4
III	R401_LP	cntrl	17D	1	Micro Tom	226.3
III	R401_LP	cntrl	17D	2	Micro Tom	158.4
III	R401_LP	cntrl	17E	1	Micro Tom	145.3
III	R401_LP	cntrl	17E	2	Micro Tom	205.2
III	R401_LP	cntrl	23A	1	Lotus japonicus	15
III	R401_LP	cntrl	23A	2	Lotus japonicus	17.5
III	R401_LP	cntrl	23A	3	Lotus japonicus	17.25
III	R401_LP	cntrl	23B	2	Lotus japonicus	20.9
III	R401_LP	cntrl	23B	3	Lotus japonicus	26.35
III	R401_LP	cntrl	23C	1	Lotus japonicus	14.8
III	R401_LP	cntrl	23C	2	Lotus japonicus	14.45
III	R401_LP	cntrl	23C	3	Lotus japonicus	22.1
III	R401_LP	cntrl	23D	1	Lotus japonicus	20.7
III	R401_LP	cntrl	23D	2	Lotus japonicus	15.7
III	R401_LP	cntrl	23D	3	Lotus japonicus	18.9
III	R401_LP	cntrl	23E	1	Lotus japonicus	16
III	R401_LP	cntrl	23E	2	Lotus japonicus	13.85
III	R401_LP	cntrl	23E	3	Lotus japonicus	24.95
III	R401_LP	NaCl	20A	2	Micro Tom	25.6
III	R401_LP	NaCl	20B	1	Micro Tom	21.9
III	R401_LP	NaCl	20C	1	Micro Tom	44.4
III	R401_LP	NaCl	20C	2	Micro Tom	39.7
III	R401_LP	NaCl	20D	1	Micro Tom	32.1
III	R401_LP	NaCl	20D	2	Micro Tom	43.5
III	R401_LP	NaCl	20E	1	Micro Tom	21.9
III	R401_LP	NaCl	26A	1	Lotus japonicus	26.4
III	R401_LP	NaCl	26A	2	Lotus japonicus	18.35
III	R401_LP	NaCl	26A	3	Lotus japonicus	31.2
III	R401_LP	NaCl	26B	1	Lotus japonicus	21.25
III	R401_LP	NaCl	26B	2	Lotus japonicus	18.9
III	R401_LP	NaCl	26B	3	Lotus japonicus	24.1
III	R401_LP	NaCl	26C	1	Lotus japonicus	23.25
III	R401_LP	NaCl	26C	2	Lotus japonicus	21.7
III	R401_LP	NaCl	26C	3	Lotus japonicus	26.9
III	R401_LP	NaCl	26D	1	Lotus japonicus	22.55
III	R401_LP	NaCl	26D	2	Lotus japonicus	18.4
III	R401_LP	NaCl	26D	3	Lotus japonicus	22.4
III	R401_LP	NaCl	26E	1	Lotus japonicus	21.15
III	R401_LP	NaCl	26E	2	Lotus japonicus	20.5
III	R401_LP	NaCl	26E	3	Lotus japonicus	23.3
III	R401_WT	cntrl	16A	1	Micro Tom	84
III	R401_WT	cntrl	16A	2	Micro Tom	40.4
III	R401_WT	cntrl	16B	1	Micro Tom	137.2
III	R401_WT	cntrl	16B	2	Micro Tom	91.1
III	R401_WT	cntrl	16C	1	Micro Tom	45.9
III	R401_WT	cntrl	16C	2	Micro Tom	44.7
III	R401_WT	cntrl	16D	1	Micro Tom	99
III	R401_WT	cntrl	16D	2	Micro Tom	65.9
III	R401_WT	cntrl	16E	1	Micro Tom	63.9
III	R401_WT	cntrl	16E	2	Micro Tom	76.7
III	R401_WT	cntrl	22A	1	Lotus japonicus	17.05
III	R401_WT	cntrl	22A	2	Lotus japonicus	19.15
III	R401_WT	cntrl	22A	3	Lotus japonicus	16
III	R401_WT	cntrl	22B	1	Lotus japonicus	13.8
III	R401_WT	cntrl	22B	2	Lotus japonicus	16.5
III	R401_WT	cntrl	22B	3	Lotus japonicus	14.55
III	R401_WT	cntrl	22C	1	Lotus japonicus	15.65
III	R401_WT	cntrl	22C	2	Lotus japonicus	17.6
III	R401_WT	cntrl	22C	3	Lotus japonicus	23.95
III	R401_WT	cntrl	22D	1	Lotus japonicus	18.6
III	R401_WT	cntrl	22D	2	Lotus japonicus	24.3
III	R401_WT	cntrl	22D	3	Lotus japonicus	24.06666667
III	R401_WT	cntrl	22E	1	Lotus japonicus	16.7
III	R401_WT	cntrl	22E	2	Lotus japonicus	20.45
III	R401_WT	cntrl	22E	3	Lotus japonicus	22.85
III	R401_WT	NaCl	19A	1	Micro Tom	21.2
III	R401_WT	NaCl	19A	2	Micro Tom	18.6
III	R401_WT	NaCl	19D	1	Micro Tom	23.95
III	R401_WT	NaCl	19E	1	Micro Tom	15
III	R401_WT	NaCl	25A	1	Lotus japonicus	12.95
III	R401_WT	NaCl	25A	2	Lotus japonicus	21.25
III	R401_WT	NaCl	25A	3	Lotus japonicus	20
III	R401_WT	NaCl	25B	1	Lotus japonicus	19.5
