Flowpot	Plant	NaCl	SynCom	R401	Value																						
5	1	50 mM	no SC	WT	19.6																						
5	2	50 mM	no SC	WT	2.7																						
5	3	50 mM	no SC	WT	8.1																						
5	4	50 mM	no SC	WT	11.3																						
5	5	50 mM	no SC	WT	3.9																						
6	1	50 mM	no SC	WT	1.2																						
6	2	50 mM	no SC	WT	9.8																						
6	3	50 mM	no SC	WT	5																						
6	4	50 mM	no SC	WT	26.5																						
6	5	50 mM	no SC	WT	0																						
1	1	50 mM	no SC	dLP	7.8																						
1	2	50 mM	no SC	dLP	13																						
1	3	50 mM	no SC	dLP	33.4																						
1	4	50 mM	no SC	dLP	10.3																						
1	5	50 mM	no SC	dLP	0																						
2	1	50 mM	no SC	dLP	18.7																						
2	2	50 mM	no SC	dLP	20.1																						
2	3	50 mM	no SC	dLP	13.5																						
2	4	50 mM	no SC	dLP	5.6																						
2	5	50 mM	no SC	dLP	0																						
3	1	50 mM	no SC	dLP	19.1																						
3	2	50 mM	no SC	dLP	36.7																						
3	3	50 mM	no SC	dLP	14.1																						
3	4	50 mM	no SC	dLP	15.6																						
3	5	50 mM	no SC	dLP	17.1																						
4	1	50 mM	no SC	dLP	11.3																						
4	2	50 mM	no SC	dLP	16.4																						
4	3	50 mM	no SC	dLP	12.5																						
4	4	50 mM	no SC	dLP	25.5																						
4	5	50 mM	no SC	dLP	11.3																						
5	1	50 mM	no SC	dLP	19.7																						
5	2	50 mM	no SC	dLP	16.7																						
5	3	50 mM	no SC	dLP	13																						
5	4	50 mM	no SC	dLP	12.1																						
5	5	50 mM	no SC	dLP	13.3																						
6	1	50 mM	no SC	dLP	11.3																						
6	2	50 mM	no SC	dLP	16																						
6	3	50 mM	no SC	dLP	3.9																						
6	4	50 mM	no SC	dLP	4.2																						
6	5	50 mM	no SC	dLP	3.2																						
1	1	50 mM	no SC	dD4	2.3																						
1	2	50 mM	no SC	dD4	3.2																						
1	3	50 mM	no SC	dD4	13.4																						
1	4	50 mM	no SC	dD4	19.8																						
1	5	50 mM	no SC	dD4	24.2																						
2	1	50 mM	no SC	dD4	17.9																						
2	2	50 mM	no SC	dD4	25.1																						
2	3	50 mM	no SC	dD4	31.7																						
2	4	50 mM	no SC	dD4	24.1																						
2	5	50 mM	no SC	dD4	0																						
3	1	50 mM	no SC	dD4	26.7																						
3	2	50 mM	no SC	dD4	11.1																						
3	3	50 mM	no SC	dD4	3.6																						
3	4	50 mM	no SC	dD4	5.3																						
3	5	50 mM	no SC	dD4	0																						
4	1	50 mM	no SC	dD4	2.4																						
4	2	50 mM	no SC	dD4	18.7																						
4	3	50 mM	no SC	dD4	6.7																						
4	4	50 mM	no SC	dD4	0																						
4	5	50 mM	no SC	dD4	0																						
5	1	50 mM	no SC	dD4	41.7																						
5	2	50 mM	no SC	dD4	33.6																						
5	3	50 mM	no SC	dD4	0.7																						
5	4	50 mM	no SC	dD4	2.1																						
5	5	50 mM	no SC	dD4	1.7																						
6	1	50 mM	no SC	dD4	2																						
6	2	50 mM	no SC	dD4	3.2																						
6	3	50 mM	no SC	dD4	21.1																						
6	4	50 mM	no SC	dD4	8.1																						
6	5	50 mM	no SC	dD4	0																						
1	1	50 mM	MSC	HK	28.2																						
1	2	50 mM	MSC	HK	52.6																						
1	3	50 mM	MSC	HK	32.5																						
1	4	50 mM	MSC	HK	1.3																						
